county,White,Black,Bachelor,Female,older65,Poverty,OwnHouseRate,NonInsurance,MIncome,Superfund,Populations,InRate
Ala,69.6,20.3,40.5,51.6,10.8,25.7,54.1,19.1,42149,1,246770,469.2
Bak,83.7,13.6,10.0,47.8,10.9,18.8,79.7,17.0,49236,0,26938,433.6
Bay,82.2,10.8,21.1,50.5,14.5,18.0,62.5,19.3,47461,1,169392,512.4
Bra,76.4,20.4,9.2,43.9,14.4,21.8,77.8,18.7,40259,0,27239,373.8
Bre,83.0,10.1,26.3,51.0,20.4,15.0,73.5,20.0,48039,9,545625,446.6
Bro,63.1,26.7,29.9,51.6,14.3,15.2,65.9,25.8,51251,0,1771099,423.4
Cal,80.8,13.8,7.8,45.6,15.4,23.8,79.0,20.5,32780,0,14641,385.8
Cha,90.0,5.7,21.2,51.4,34.1,14.4,79.0,23.4,44378,0,163357,394.6
Cit,93.0,2.8,16.6,51.6,31.9,17.3,82.6,21.5,39100,0,140761,435.4
Cla,81.8,9.9,24.0,51.0,11.7,9.9,76.6,16.9,59482,0,192071,441.6
Coll,83.9,6.6,31.7,50.7,26.4,13.4,74.1,29.9,55843,0,329849,352.9
Colu,77.9,17.5,13.3,48.2,15.4,18.8,70.8,20.2,38070,0,67729,438.5
Mia,73.8,18.9,26.3,51.6,14.1,21.0,55.7,33.1,43100,13,34408,399.7
DeS,66.2,12.7,10.6,43.4,17.9,33.9,71.8,36.8,34963,1,16298,419.1
Dix,88.8,8.4,8.4,46.2,19.3,27.1,78.5,20.3,33981,0,869729,377.5
Duv,60.9,29.5,26.4,51.5,11.1,17.1,61.6,19.4,48323,10,299511,488.0
Esc,68.9,22.9,23.7,50.6,14.4,17.6,64.1,18.5,43918,7,97160,435.3
Fla,82.3,11.4,23.3,51.9,24.5,14.5,80.2,22.1,47233,0,11530,352.3
Fra,82.6,13.8,14.4,42.4,17.4,25.9,69.7,25.8,38328,0,47506,469.5
Gad,35.9,56.0,14.9,51.2,13.6,25.3,71.2,22.6,35380,1,16946,381.4
Gil,90.9,5.3,11.1,47.8,16.9,21.9,79.7,24.1,38406,0,12671,370.2
